iter	Passed	Remaining
170	367	1783
171	369	1780
172	371	1777
173	374	1775
174	376	1773
175	378	1771
176	380	1768
177	382	1766
178	384	1764
179	386	1761
180	388	1759
181	390	1755
182	392	1754
183	395	1752
184	397	1750
185	399	1747
186	401	1745
187	403	1742
188	405	1741
189	407	1738
190	410	1736
191	412	1734
192	414	1732
193	416	1729
194	418	1727
195	420	1725
196	422	1723
197	424	1720
198	426	1717
199	428	1714
200	430	1712
201	432	1709
202	434	1707
203	436	1704
204	439	1702
205	441	1699
206	443	1698
207	445	1697
208	447	1693
209	449	1689
210	451	1687
211	453	1685
212	455	1682
213	457	1679
214	459	1677
215	461	1676
216	463	1673
217	465	1670
218	467	1668
219	470	1669
220	472	1666
221	474	1663
222	476	1660
223	479	1660
224	481	1658
225	483	1655
226	485	1653
227	487	1651
228	489	1648
229	491	1646
230	493	1644
231	495	1641
232	497	1638
233	500	1637
234	502	1635
235	504	1633
236	506	1631
237	508	1629
238	511	1627
239	513	1625
240	515	1622
241	517	1620
242	519	1618
243	521	1615
244	523	1613
245	525	1610
246	527	1608
247	529	1605
248	531	1602
249	533	1600
250	535	1598
251	537	1595
252	539	1594
253	542	1594
254	545	1593
255	547	1590
256	549	1588
257	551	1587
258	553	1584
259	556	1583
260	559	1585
261	561	1582
262	563	1580
263	567	1581
264	569	1579
265	571	1578
266	574	1576
267	576	1574
268	578	1572
269	580	1569
270	582	1567
271	584	1565
272	586	1562
273	588	1560
274	590	1557
275	592	1554
276	594	1552
277	596	1550
278	599	1549
279	602	1548
280	605	1548
281	607	1546
282	609	1543
283	611	1540
284	613	1538
285	615	1537
286	617	1534
287	619	1532
288	621	1529
289	624	1528
290	626	1525
291	628	1523
292	630	1521
293	632	1518
294	634	1516
295	636	1514
296	638	1511
297	640	1509
298	642	1506
299	644	1504
300	646	1501
301	648	1499
302	650	1497
303	652	1494
304	655	1492
305	657	1490
306	658	1487
307	661	1485
308	663	1483
309	665	1481
310	667	1479
311	669	1477
312	672	1474
313	674	1473
314	676	1470
315	678	1469
316	680	1466
317	682	1464
318	685	1464
319	688	1462
320	690	1459
321	692	1457
322	694	1455
323	697	1454
324	699	1452
325	701	1450
326	703	1448
327	705	1445
328	707	1443
329	710	1441
330	712	1439
331	714	1437
332	716	1435
333	718	1433
334	720	1431
335	723	1429
336	725	1426
337	727	1424
338	729	1422
339	731	1419
340	733	1417
341	735	1415
342	737	1413
343	740	1411
344	741	1408
345	743	1406
346	745	1403
347	747	1401
348	749	1398
349	752	1396
350	754	1394
351	756	1392
352	758	1390
353	761	1388
354	763	1387
355	765	1384
356	767	1382
357	770	1381
358	772	1378
359	774	1376
360	776	1374
361	778	1372
362	780	1370
363	782	1368
364	785	1366
365	787	1364
366	789	1362
367	792	1361
368	795	1360
369	797	1357
370	799	1355
371	801	1353
372	804	1352
373	806	1350
374	808	1348
375	811	1346
376	813	1344
377	815	1341
378	817	1339
379	819	1337
380	821	1334
381	823	1332
382	825	1329
383	827	1327
384	829	1325
385	832	1323
386	834	1321
387	836	1319
388	838	1316
389	840	1314
390	843	1313
391	845	1311
392	847	1308
393	849	1306
394	851	1304
395	853	1302
396	856	1300
397	858	1298
398	860	1296
399	862	1293
400	864	1291
401	866	1288
402	868	1287
403	870	1284
404	873	1282
405	875	1280
406	877	1279
407	879	1276
408	881	1274
409	884	1272
410	886	1270
411	887	1267
412	890	1265
413	892	1263
414	895	1262
415	897	1259
416	899	1257
417	902	1256
418	904	1254
419	907	1252
420	909	1250
421	912	1250
422	915	1249
423	918	1248
424	921	1246
425	924	1245
426	927	1244
427	930	1243
428	933	1242
429	939	1244
430	946	1250
431	954	1254
432	958	1254
433	963	1256
434	970	1260
435	973	1259
436	977	1259
437	979	1257
438	983	1256
439	986	1255
440	989	1253
441	993	1253
442	995	1252
443	998	1250
444	1003	1251
445	1006	1250
446	1011	1251
447	1016	1252
448	1019	1251
449	1022	1250
450	1025	1248
451	1028	1246
452	1030	1244
453	1033	1242
